0;0;0;0;land;false;unknown;0
1;202;137;172;land;false;desert;1
2;206;175;210;land;false;desert;1
3;140;244;235;land;false;desert;1
4;185;217;190;land;false;desert;1
5;250;77;207;land;false;desert;1
6;116;226;186;land;false;desert;1
7;238;157;153;land;false;desert;1
8;141;227;210;land;false;desert;1
9;110;210;216;land;false;desert;1
10;118;254;184;land;false;desert;1
11;200;209;190;land;false;desert;1
12;198;71;237;land;false;desert;1
13;211;88;204;land;false;desert;1
14;102;243;157;land;false;desert;1
15;117;195;223;land;false;desert;1
16;169;112;225;land;false;desert;1
17;187;197;253;land;false;desert;1
18;189;241;237;land;false;desert;1
19;202;70;237;land;false;desert;1
20;195;189;250;land;false;desert;1
21;189;248;197;land;false;desert;1
22;228;227;73;land;false;desert;1
23;167;219;188;land;false;desert;1
24;137;136;250;land;false;desert;1
25;77;215;248;land;false;desert;1
26;220;183;206;land;false;desert;1
27;128;194;245;land;false;desert;1
28;245;109;148;land;false;desert;1
29;132;222;249;land;false;mountain;1
30;214;154;184;land;false;desert;1
31;206;135;229;land;false;desert;1
32;147;247;185;land;false;desert;1
33;144;184;195;land;false;desert;1
34;150;212;190;land;false;desert;1
35;89;232;237;land;false;desert;1
36;186;196;136;land;false;desert;1
37;161;210;148;land;false;desert;1
38;212;146;220;land;false;desert;1
39;231;229;136;land;false;desert;1
40;183;241;140;land;false;desert;1
41;199;216;235;land;false;desert;1
42;215;200;131;land;false;desert;1
43;239;218;66;land;false;desert;1
44;227;211;241;land;false;desert;1
45;62;205;240;land;false;desert;1
46;144;222;208;land;false;desert;1
47;187;195;240;land;false;desert;1
48;139;247;199;land;false;desert;1
49;205;104;208;land;false;desert;1
50;234;181;214;land;false;desert;1
51;216;199;188;land;false;desert;1
52;192;227;108;land;false;desert;1
53;223;203;235;land;false;desert;1
54;233;220;57;land;false;desert;1
55;213;158;243;land;false;desert;1
56;115;157;252;land;false;desert;1
57;65;235;232;land;false;desert;1
58;227;212;155;land;false;desert;1
59;197;143;217;land;false;desert;1
60;143;231;128;land;false;desert;1
61;167;235;105;land;false;desert;1
62;252;221;205;land;false;desert;1
63;226;240;235;land;false;desert;1
64;238;112;222;land;false;desert;1
65;249;115;221;land;false;desert;1
66;182;207;131;land;false;desert;1
67;186;253;102;land;false;desert;1
68;249;74;219;land;false;desert;1
69;251;48;236;land;false;desert;1
70;134;194;202;land;false;desert;1
71;242;225;226;land;false;desert;1
72;162;188;244;land;false;desert;1
73;213;252;172;land;false;desert;1
74;216;249;147;land;false;desert;1
75;169;206;220;land;false;desert;1
76;215;237;55;land;false;desert;1
77;192;193;233;land;false;desert;1
78;221;248;82;land;false;desert;1
79;174;193;155;land;false;desert;1
80;238;193;237;land;false;desert;1
81;191;217;194;land;false;desert;1
82;163;177;237;land;false;desert;1
83;109;246;169;land;false;desert;1
84;246;239;145;land;false;desert;1
85;243;118;194;land;false;desert;1
86;168;200;148;land;false;desert;1
87;253;220;110;land;false;desert;1
88;234;199;88;land;false;desert;1
89;249;227;190;land;false;desert;1
90;250;175;203;land;false;desert;1
91;209;244;102;land;false;desert;1
92;197;130;238;land;false;desert;1
93;122;206;250;land;false;desert;1
94;209;249;78;land;false;desert;1
95;249;200;181;land;false;desert;1
96;137;206;230;land;false;desert;1
97;140;218;190;land;false;desert;1
98;137;204;241;land;false;desert;1
99;228;174;111;land;false;desert;1
100;138;214;192;land;false;desert;1
101;146;225;187;land;false;desert;1
102;251;69;220;land;false;desert;1
103;82;229;215;land;false;desert;1
104;157;203;184;land;false;desert;1
105;215;128;167;land;false;desert;1
106;233;210;76;land;false;desert;1
107;243;187;177;land;false;desert;1
108;225;244;133;land;false;desert;1
109;51;251;251;land;false;desert;1
110;126;231;157;land;false;desert;1
111;193;107;222;land;false;desert;1
112;229;118;191;land;false;desert;1
113;142;216;227;land;false;desert;1
114;237;157;214;land;false;desert;1
115;136;158;235;land;false;desert;1
116;185;101;225;land;false;desert;1
117;240;226;122;land;false;desert;1
118;184;144;201;land;false;desert;1
119;219;181;206;land;false;desert;1
120;170;219;144;land;false;desert;1
121;189;86;239;land;false;desert;1
122;246;111;195;land;false;desert;1
123;92;169;247;land;false;desert;1
124;228;197;251;land;false;desert;1
125;206;136;169;land;false;desert;1
126;216;142;232;land;false;desert;1
127;36;234;235;land;false;desert;1
128;203;207;163;land;false;desert;1
129;176;92;244;land;false;desert;1
130;84;219;222;land;false;desert;1
131;147;221;189;land;false;desert;1
132;196;229;140;land;false;desert;1
133;158;185;217;land;false;desert;1
134;230;168;209;land;false;desert;1
135;198;92;249;land;false;desert;1
136;245;247;41;land;false;desert;1
137;168;245;222;land;false;desert;1
138;242;122;219;land;false;desert;1
139;148;247;253;land;false;desert;1
140;200;217;248;land;false;desert;1
141;146;165;253;land;false;desert;1
142;242;229;69;land;false;desert;1
143;152;218;208;land;false;desert;1
144;193;186;245;land;false;desert;1
145;253;227;23;land;false;desert;1
146;215;233;227;land;false;desert;1
147;227;118;254;land;false;desert;1
148;174;190;201;land;false;desert;1
149;245;206;120;land;false;desert;1
150;81;222;211;land;false;desert;1
151;118;232;231;land;false;desert;1
152;172;194;163;land;false;desert;1
153;162;250;174;land;false;desert;1
154;200;243;165;land;false;desert;1
155;74;214;218;land;false;desert;1
156;146;157;233;land;false;desert;1
157;165;220;135;land;false;desert;1
158;168;209;214;land;false;desert;1
159;225;144;141;land;false;desert;1
160;113;231;166;land;false;desert;1
161;218;247;97;land;false;desert;1
162;178;174;219;land;false;desert;1
